rating,num_ratings
4.6,(141)
4.5,"(15,150)"
4.5,"(3,87,823)"
4.5,"(1,09,266)"
4.4,"(51,728)"
4.4,(311)
4.2,"(3,037)"
4.3,(28)
4.5,"(17,474)"
4.5,"(35,056)"
,
4.6,(141)
4.4,"(82,946)"
4.5,"(91,126)"
4.4,"(62,733)"
4.6,"(10,328)"
4.4,(311)
4.5,"(42,039)"
4.4,"(97,588)"
4.4,"(55,991)"
4.2,"(7,096)"
,
,
4.6,"(52,110)"
4.5,"(43,146)"
4.4,"(30,857)"
4.4,"(55,991)"
4.1,"(1,36,916)"
4.4,"(1,32,446)"
4.5,"(3,430)"
4.5,"(11,530)"
4.5,"(12,037)"
4.4,"(30,313)"
,
,
4.6,(141)
4.4,"(26,485)"
4.2,"(85,708)"
4.1,"(2,296)"
4.5,"(5,298)"
4.5,"(15,150)"
4.5,"(73,154)"
4.4,"(43,432)"
4.3,"(11,531)"
4.5,"(35,056)"
,
,
4.3,"(4,856)"
4.4,"(24,106)"
4.5,"(40,583)"
4.3,"(3,39,285)"
4.5,"(1,146)"
4.5,"(15,615)"
4.4,"(33,714)"
4.5,"(4,452)"
4.4,"(14,441)"
4.5,"(1,44,279)"
,
,
4.4,"(8,980)"
4.6,"(20,181)"
4.3,"(74,753)"
4.3,"(2,47,007)"
4.3,"(2,778)"
4.5,"(1,80,543)"
4.3,"(12,674)"
4.5,"(14,923)"
4.4,"(28,547)"
4.5,"(2,00,098)"
,
,
4.1,(775)
4.6,(177)
4.3,(293)
4.5,(200)
4,"(1,189)"
4,(33)
4.2,"(25,305)"
4.4,"(18,355)"
4.3,"(61,902)"
4.5,"(40,559)"
,
,
4.6,(141)
4.6,"(10,328)"
4.5,"(39,524)"
4.3,"(72,869)"
4.5,"(1,146)"
4.2,"(1,72,145)"
4.4,"(17,449)"
4.5,"(40,178)"
4.4,"(2,539)"
4.1,"(4,686)"
,
,
4.6,(141)
4.2,"(9,614)"
4.4,"(12,886)"
3.5,(116)
4.5,"(5,298)"
4.2,"(1,72,145)"
4.6,"(2,122)"
4,"(36,564)"
4.4,"(1,557)"
4.1,"(4,686)"
,
,
4.5,"(3,02,579)"
4.4,"(65,271)"
4.4,"(27,357)"
4.2,"(1,37,266)"
4.5,"(61,373)"
4.1,"(1,36,916)"
4.1,"(1,10,737)"
4.4,(140)
4.5,"(20,696)"
4.4,"(30,313)"
,
,
4.3,"(4,856)"
4.6,"(1,195)"
4,"(1,752)"
4,"(15,947)"
4.5,"(1,146)"
4.2,"(1,73,266)"
4,"(16,444)"
4.3,"(61,310)"
4.8,(146)
4.5,"(5,298)"
,
,
4.3,"(4,856)"
4.5,"(5,030)"
4.4,"(43,719)"
4.1,(33)
4.5,"(3,05,787)"
4.6,(201)
4.4,"(80,051)"
4.2,"(27,908)"
4,"(1,73,420)"
4.6,"(23,362)"
,
,
4.3,"(4,856)"
4.3,(977)
4,"(95,534)"
4.5,"(11,906)"
4.3,(97)
4.5,"(1,146)"
4.3,"(48,095)"
4.3,"(39,451)"
4.1,"(5,666)"
4.4,"(83,479)"
,
,
4.3,"(4,856)"
4.3,"(33,955)"
4.3,"(58,155)"
4.4,"(5,133)"
4.3,(97)
4.5,"(35,155)"
4.2,"(4,264)"
4.4,"(43,260)"
3.9,"(48,713)"
4.4,"(31,120)"
,
,
4.6,"(52,110)"
4.5,"(91,074)"
4.4,"(6,647)"
4,"(15,820)"
4.2,"(1,72,145)"
4.4,"(2,41,196)"
4.4,"(3,940)"
4,"(2,662)"
4.5,(456)
4.5,"(35,056)"
,
,
4.6,(141)
4.3,"(4,140)"
4.2,"(1,10,391)"
4.1,"(5,432)"
4.5,"(1,146)"
4.4,(404)
4.4,"(4,445)"
4.5,(187)
4.4,"(11,894)"
4.5,"(35,056)"
,
,
4.6,(352)
4.1,"(2,75,857)"
4.4,"(25,698)"
4.1,"(18,623)"
4.4,(404)
4.4,"(31,120)"
4.6,"(1,38,591)"
4.6,"(41,323)"
4.3,"(2,19,820)"
4.6,"(23,172)"
,
4.6,(141)
4.4,"(41,441)"
4.4,(651)
4.2,"(56,266)"
4.6,"(10,328)"
4.5,"(5,298)"
4.5,"(4,151)"
4.2,"(1,81,698)"
4.4,"(55,681)"
4.3,"(1,40,318)"
,
,
4.3,"(4,856)"
3.8,"(1,44,199)"
4.4,"(9,636)"
3.9,"(97,297)"
4.3,(97)
4.6,"(10,456)"
4.4,"(24,547)"
4.1,(514)
4,"(8,943)"
4.5,"(1,44,279)"
,
,
4.6,(141)
4.2,"(97,960)"
4.4,"(23,789)"
4.1,(514)
4.5,"(1,146)"
4.4,(404)
4.6,"(1,38,591)"
4.5,(831)
4.4,"(40,015)"
4.5,"(1,44,279)"
,
,
4.3,"(4,856)"
4.1,"(1,708)"
4.4,"(1,921)"
4.4,"(32,402)"
4.3,(97)
4.5,"(1,146)"
4.1,"(3,572)"
4.4,"(43,722)"
4.1,"(3,494)"
4.6,"(23,362)"
,
,
4.5,(419)
4.6,"(1,42,586)"
4.4,"(28,219)"
4.4,"(1,497)"
4.3,"(36,116)"
4.5,"(28,888)"
4.3,"(20,446)"
4.4,"(28,596)"
4.3,"(14,367)"
4.7,"(1,23,394)"
,
,
4.3,"(4,856)"
4.3,"(1,18,888)"
4.3,"(32,789)"
3.9,"(11,878)"
4.5,"(1,146)"
4.6,(201)
4.3,"(1,25,320)"
4.4,"(9,201)"
3.8,(35)
4.6,"(23,362)"
,
,
4.3,"(4,856)"
4.5,"(45,086)"
4.1,"(77,935)"
4.4,"(69,718)"
4.5,"(3,05,787)"
4.6,"(10,456)"
4.3,"(12,216)"
4.1,"(17,910)"
4.5,(345)
4.5,"(1,44,279)"
,
4.6,(141)
3.8,"(1,04,361)"
4.3,"(97,426)"
4.4,"(23,789)"
4.5,"(1,146)"
4.5,"(15,150)"
4.2,"(1,31,820)"
4.1,"(74,957)"
4.1,(14)
4.3,"(1,40,318)"
,
