title,sell_price,orig_price,rating,num_ratings
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,"₹16,990","₹21,490",4.4,"8,805 Ratings & 963 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool,"₹16,690","₹21,990",4.4,"9,032 Ratings & 1,105 Reviews"
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,190","₹31,990",4.4,"20,305 Ratings & 2,036 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,490","₹19,990",4.5,"53,020 Ratings & 6,128 Reviews"
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹12,790","₹14,990",4.4,"33,988 Ratings & 3,223 Reviews"
Haier 195 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,990","₹29,100",4.6,64 Ratings & 11 Reviews
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,990","₹18,990",4.4,"34,708 Ratings & 3,371 Reviews"
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,090","₹34,990",4.4,"11,477 Ratings & 1,119 Reviews"
LG 260 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with Smart Inverter,"₹24,990","₹36,390",4.4,"7,625 Ratings & 715 Reviews"
LG 260 L Frost Free Double Door Top Mount 3 Star Refrigerator  with Smart Inverter,"₹24,490","₹33,690",4.4,"16,244 Ratings & 1,965 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,490","₹19,990",4.4,"12,109 Ratings & 1,307 Reviews"
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,690","₹21,990",4.5,"53,020 Ratings & 6,128 Reviews"
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹19,490","₹21,900",4.3,"5,006 Ratings & 541 Reviews"
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹15,990","₹28,200",4.4,"2,283 Ratings & 270 Reviews"
SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator,"₹21,990","₹26,990",4.4,"6,711 Ratings & 699 Reviews"
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹11,990","₹16,350",4.3,"2,758 Ratings & 282 Reviews"
LG 235 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹19,990","₹30,499",4.4,"8,709 Ratings & 988 Reviews"
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,590","₹22,990",4.4,"7,856 Ratings & 929 Reviews"
